"long","lat","order","hole","piece","id","group"
369402.9987,431708.6041,279,FALSE,"1","E06000008","E06000008.1"
370677.3966,430117.7995,280,FALSE,"1","E06000008","E06000008.1"
370310.1039,428992.4016,281,FALSE,"1","E06000008","E06000008.1"
371077.4964,428204.6971,282,FALSE,"1","E06000008","E06000008.1"
371465.6987,424838.1008,283,FALSE,"1","E06000008","E06000008.1"
372966.4977,423266.5006,284,FALSE,"1","E06000008","E06000008.1"
333572.7995,437130.7021,285,FALSE,"1","E06000009","E06000009.1"
334590.8007,436258.9016,286,FALSE,"1","E06000009","E06000009.1"
335319.5981,433501.9008,287,FALSE,"1","E06000009","E06000009.1"
333963.401,433247.0037,288,FALSE,"1","E06000009","E06000009.1"
334425.1986,431366.8019,289,FALSE,"1","E06000009","E06000009.1"
332292.8032,431242.7974,290,FALSE,"1","E06000009","E06000009.1"
332040.2982,432108.2997,291,FALSE,"1","E06000009","E06000009.1"
330450.0631,431656.1411,292,FALSE,"1","E06000009","E06000009.1"
331017.1944,440000.0308,293,FALSE,"1","E06000009","E06000009.1"
331189.7435,442538.6498,294,FALSE,"1","E06000009","E06000009.1"
333041.8011,441857.1991,295,FALSE,"1","E06000009","E06000009.1"
333572.7995,437130.7021,296,FALSE,"1","E06000009","E06000009.1"
515429.6785,427689.4344,297,FALSE,"1","E06000010","E06000010.1"
513090.9988,428712.6007,298,FALSE,"1","E06000010","E06000010.1"
510076.0015,428165.998,299,FALSE,"1","E06000010","E06000010.1"
504417.3008,425955.8749,300,FALSE,"1","E06000010","E06000010.1"
504178.8041,427276.3028,301,FALSE,"1","E06000010","E06000010.1"
505475.8017,429362.2957,302,FALSE,"1","E06000010","E06000010.1"
504132.4009,429442.8027,303,FALSE,"1","E06000010","E06000010.1"
504376.9989,430522.5036,304,FALSE,"1","E06000010","E06000010.1"
506338.804,431536.4034,305,FALSE,"1","E06000010","E06000010.1"
506013.0993,433954.1013,306,FALSE,"1","E06000010","E06000010.1"
